number,crn,name,days,time,room,instructor,avail_max,desc,gen_ed
PHIL 100-02,10752,Introduction to Philosophy: Fiction and Film, T R,01:20 pm-02:50 pm,HUM 214,Geoffrey Gorham,0 / 16,"In this class we will explore and discuss what the greatest philosophers  have said about the fundamental puzzles of human existence - such as the nature of reality, knowledge, freedom, personal identity, morality and death - tracing paths of intellectual development from the beginnings of philosophy in the ancient world to the ‘postmodern condition’ of contemporary thought. To supplement our study of major philosophical texts of Plato, Confucius, Lao-Tzu, Augustine, Averroes, Descartes, Hume, Kant and so on, we will read philosophical literature and view and discuss a number of films. Philosophical literature has been around as long as philosophy, but film is a recent human invention that seems to provide  a very useful medium for philosophy. We will consider how fictions and films illustrate the philosophical problems that we are studying and also examine puzzles about the nature of fiction and film itself: Are there truths and falsehoods about fiction and film? Why do fiction and films engage us? Why do we enjoy sad and terrifying fiction and films? What is the nature of time and space in these media? Can we ‘do’ philosophy with fiction and film? We will also consider philosophical issues related to other 'moving image' media such as video games and virtual reality. Assignments will be mostly short papers. Class sessions will be a mixture of lecture, viewings and discussion.",Writing WA
PHIL 100-03,10753,"Introduction to Philosophy: Time, Truth and Meaning", T R,03:00 pm-04:30 pm,CARN 107,Hannah Kim,0 / 20,"In this class, we’ll explore some of the biggest philosophical questions that occupy us. We’ll also acquaint ourselves with an array of figures in western and non-western traditions. Between life and death, there is only one factor that is truly common to all human experience: time. But what is time? St. Augustine famously says that he knows what time is until someone asks him to explain what it is. We’ll start by exploring whether time flows, what sempiternity and eternity are, and what the difference between the past, present, and future might be. Once we get a grip on this time thing that we all occupy, we’ll move on to Truth. What can we hope to know? Do we live in a simulation? Who should we trust, and how do we build a coherent understanding of the world? What is truth, anyway? Lastly, we’ll move on to perhaps the most important: meaning. What is the purpose of life? Does such a question even make sense? Where do my values come from? We’ll explore theism, existentialism, antinatalism and others as views that offer competing answers to these questions.",Writing WA
PHIL 111-01,10754,Introduction to Symbolic Logic,M W F,12:00 pm-01:00 pm,CARN 206,Janet Folina,4 / 20,"An introduction to formal methods for evaluating deductive arguments. Topics include formal fallacies, decision procedures, translation of arguments to argument forms, and natural deduction proofs in propositional and predicate logic.",Quantitative Thinking Q1
PHIL 111-02,10755,Introduction to Symbolic Logic,M W F,10:50 am-11:50 am,CARN 206,Janet Folina,1 / 20,"An introduction to formal methods for evaluating deductive arguments. Topics include formal fallacies, decision procedures, translation of arguments to argument forms, and natural deduction proofs in propositional and predicate logic.",Quantitative Thinking Q1
PHIL 121-01,10756,Ethics, T R,09:40 am-11:10 am,HUM 213,Amy Ihlan,0 / 20,"This course will introduce you to concepts and issues in moral philosophy, with a focus on ethical judgment and action – what it means to “do the right thing”, be a good person, or live a good life. We will explore ethical theories from western and global traditions and apply them to a range of contemporary moral issues and problems.",
PHIL 224-01,10757,Philosophy of Law, T R,01:20 pm-02:50 pm,HUM 213,Amy Ihlan,2 / 20,"This course explores a variety of issues in legal philosophy, including methods of legal reasoning, theories of constitutional and statutory interpretation, the relationship between law and morality, the ethical implications of lawyers’ roles in adversarial legal systems, and topics in feminist and critical legal theory.  We will also consider ways legal analysis and arguments influence public policy, political controversies, and approaches to conflict resolution.",
PHIL 225-01,10758,Digital Ethics,M W F,10:50 am-11:50 am,CARN 105,Diane Michelfelder, Closed -1 / 20,"When this course was first developed, the ethical questions it considered largely imagined, as a context, an Internet user sitting at a personal computer. As digital devices and the activities that they afford permeate many aspects of our everyday lives and social institutions, that Internet user is ever increasingly a device-connected data-subject. In this course, we will consider a wide array of ethical issues connected to these devices and the activities and practices in which they are embedded and which they help shape. Up for consideration, reflection, and discussion will be topics such as privacy, dataveillance, algorithmic bias and other ethical issues within AI, and the responsibilities of social media companies with respect to content moderation. The questions we will ask will be both small and big—including ones about the ethical impacts of “digital life” on our relations with others and the quality of our lives. No books will be required for this course: all readings will either be available online or as .pdfs.",Writing WA
PHIL 300-01,10760,20th C Continental Philosophy: Philosophy and Play,M W F,02:20 pm-03:20 pm,CARN 05,Diane Michelfelder, Closed 5 / 15,"By all reasonable accounts, philosophy is serious stuff. Think about it: when was the last time you heard anyone say: Aristotle, he’s so hilarious!?  The seriousness of philosophy can hide how much philosophers have thought about play and how philosophical thinking itself can be a playful activity. In this class, we’ll be exploring a number of questions related to play and playfulness. What is(are) the point(s) of play? What are we doing when we engage in playful behavior?  How do we experience time in play? What is the relationship between our play time and philosophical time? What can we learn about ourselves and the world through the frame of play?  How is play related to being a child, to making and understanding art, to participating in festivals and other celebratory activities, and to resisting dominant political regimes?  We’ll start out the course with a brief glance back at the 19th century philosopher Friedrich Schiller’s thoughts on how the spontaneity involved in play makes us human. From here we’ll move on to look at play directly through the lenses of some 20th century philosophical work, starting with Eugen Fink’s Play as the Symbol of the World and running through Guy Debord’s vision of the potential of play as spilling over into “real life.” Toward the end of the course we’ll discuss how what we’ve learned can assist in analyzing contemporary play-related phenomena such as gamification. Yes, there will be confetti, and you will on occasion have an opportunity to play in addition to talking and writing about it. Along with contributing toward the philosophy major, this course also counts as a core course for the critical theory concentration.",
PHIL 314-01,10761,Contemporary Metaphysics,  W,07:00 pm-10:00 pm,CARN 204,Geoffrey Gorham, Closed -12 / 15,"Metaphysics - the investigation of the fundamental categories of being - is as old as philosophy itself. This class is devoted to the most important and intriguing metaphysical theories and problems of contemporary philosophy. Specific topics will vary from year to year depending on student and faculty interest but will likely include: time and space, freedom and determinism, infinity, identity, causality, death, the origin and demise of the universe, abstract and fictional objects, necessity and possibility, human nature and transhumanism, and the categories of race and gender. We will also be concerned with the relationship between metaphysics and other domains within and beyond philosophy, such as literature and natural science. Classes will be seminar-style, focused on discussion of readings and student work. Prerequisite(s): A 100- or 200- level Philosophy course.",Writing WA
PHIL 489-01,10762,Senior Seminar,M,07:00 pm-10:00 pm,MAIN 009,"Folina, Kim",5 / 10,"A capstone experience in philosophy for senior majors. Each participant in the seminar will be expected to write an essay reflective of scholarly standards within the discipline on a question of their own choosing, within a collaborative and supportive environment. Participants in the seminar will help one another develop their capstone papers and prepare to present them publicly at the end of the semester. Readings may be assigned as appropriate with regard to student-identified topics. Prerequisite(s): Philosophy major and senior status, or permission of instructor.",
PHIL 489-02,10763,Senior Seminar,M,07:00 pm-10:00 pm,MAIN 011,Hannah Kim,4 / 10,"A capstone experience in philosophy for senior majors. Each participant in the seminar will be expected to write an essay reflective of scholarly standards within the discipline on a question of their own choosing, within a collaborative and supportive environment. Participants in the seminar will help one another develop their capstone papers and prepare to present them publicly at the end of the semester. Readings may be assigned as appropriate with regard to student-identified topics. Prerequisite(s): Philosophy major and senior status, or permission of instructor.",
PHYS 130-01,10546,Science of Renewable Energy,M W F,01:10 pm-02:10 pm,OLRI 150,James Doyle,2 / 62,"This is a course on the current status of the most promising alternative and renewable energy options from a primarily scientific and technological perspective. Current methods of electricity generation and transportation energy sources will be briefly reviewed (fossil fuels, nuclear fission, and hydroelectric), including discussion of their limitations and environmental consequences. The focus of the course will be on understanding the scientific basis of alternative and renewable energy sources, and their promise and technological challenges for wide scale implementation. Biofuels, wind, photovoltaics, concentrated solar power, hydrogen, nuclear fusion, and geothermal will be considered in depth.",Quantitative Thinking Q2
PHYS 194-01,10548,Rocket Science,M W F,09:40 am-10:40 am,OLRI 101,Tonnis ter Veldhuis,0 / 17,"This course covers standard material such as Newton’s laws, conservation of energy, linear momentum, and angular momentum, oscillations and orbital dynamics, but with a strong focus on applying these basic physics principles to rocket propulsion and flight. In the process, we will explore the dynamics of past and planned space agency missions designed to investigate asteroids, planets and their moons, and comets. Instead of a conventional lab, the course includes a hands-on, semester-long project where students design, simulate, build, and launch their own high-power rockets. Apart from the rocket building project, evaluation will take the form of regular problem sets, exams, short papers, and a research paper. Some high school physics and calculus are recommended. Rocket Science can be substituted for the course Principles of Physics I towards the physics major and provides a solid foundation for Principles of Physics II.",Writing WA
PHYS 194-L1,10549,Rocket Science Lab, T,08:00 am-11:10 am,,Tonnis ter Veldhuis,1 / 9,"This course covers standard material such as Newton’s laws, conservation of energy, linear momentum, and angular momentum, oscillations and orbital dynamics, but with a strong focus on applying these basic physics principles to rocket propulsion and flight. In the process, we will explore the dynamics of past and planned space agency missions designed to investigate asteroids, planets and their moons, and comets. Instead of a conventional lab, the course includes a hands-on, semester-long project where students design, simulate, build, and launch their own high-power rockets. Apart from the rocket building project, evaluation will take the form of regular problem sets, exams, short papers, and a research paper. Some high school physics and calculus are recommended. Rocket Science can be substituted for the course Principles of Physics I towards the physics major and provides a solid foundation for Principles of Physics II.",
PHYS 194-L2,10550,Rocket Science Lab, T,01:20 pm-04:30 pm,,Tonnis ter Veldhuis,0 / 8,"This course covers standard material such as Newton’s laws, conservation of energy, linear momentum, and angular momentum, oscillations and orbital dynamics, but with a strong focus on applying these basic physics principles to rocket propulsion and flight. In the process, we will explore the dynamics of past and planned space agency missions designed to investigate asteroids, planets and their moons, and comets. Instead of a conventional lab, the course includes a hands-on, semester-long project where students design, simulate, build, and launch their own high-power rockets. Apart from the rocket building project, evaluation will take the form of regular problem sets, exams, short papers, and a research paper. Some high school physics and calculus are recommended. Rocket Science can be substituted for the course Principles of Physics I towards the physics major and provides a solid foundation for Principles of Physics II.",
PHYS 226-01,10551,Principles of Physics I,M W F,09:40 am-10:40 am,OLRI 150,Christopher West,23 / 42,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 226-02,10552,Principles of Physics I,M W F,10:50 am-11:50 am,OLRI 150,Christopher West,10 / 42,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 226-L1,10553,Principles of Physics I Lab,M,02:20 pm-04:20 pm,OLRI 152,Brian Adams,1 / 18,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 226-L2,10554,Principles of Physics I Lab, T,09:10 am-11:10 am,OLRI 152,Brian Adams,2 / 18,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 226-L3,10555,Principles of Physics I Lab, T,01:20 pm-03:20 pm,OLRI 152,Brian Adams,4 / 18,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 226-L4,10894,Principles of Physics I Lab,M,12:00 pm-02:00 pm,OLRI 152,Brian Adams,14 / 18,"A study of motion, including Newton's Law of Motion, conservation of energy and momentum, rotational kinematics and dynamics, oscillations, waves in elastic media and thermal properties of matter. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 221. Prerequisite(s): Concurrent or previous registration in MATH 135 or MATH 137; or a 4 or 5 on the Advanced Placement AB or BC Calculus exam.",
PHYS 227-01,10556,Principles of Physics II,M W F,09:40 am-10:40 am,OLRI 170,Saki Khan,32 / 36,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",
PHYS 227-L1,10557,Principles of Physics II Lab,   R,09:10 am-11:10 am,OLRI 152,Brian Adams,15 / 18,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",
PHYS 227-L2,10558,Principles of Physics II Lab,   R,01:20 pm-03:20 pm,OLRI 152,Brian Adams,17 / 18,"A study of electric charge and currents, electric and magnetic fields, electromagnetic waves, and geometrical and physical optics. Three lectures and one two-hour laboratory per week. Students cannot receive credit for both this course and PHYS 222. Prerequisite(s): PHYS 226  and MATH 137  (MATH 137 may also be taken concurrently).",
PHYS 331-01,10559,Modern Physics,M W F,08:30 am-09:30 am,OLRI 150,James Heyman,19 / 28,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",Quantitative Thinking Q2
PHYS 331-L1,10560,Modern Physics Lab,   R,08:00 am-11:10 am,OLRI 154,James Heyman,11 / 14,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",
PHYS 331-L2,10561,Modern Physics Lab, T,01:20 pm-04:30 pm,OLRI 154,James Heyman,9 / 14,"This course provides an introductory treatment of the exciting foundations of modern microscopic physics, including special relativity, quantum theory, atomic structure, nuclear structure and elementary particles. The primary goal of the course is to build the solid theoretical foundation in microscopic physics necessary for advanced studies in nearly all science disciplines. In addition to the theoretical treatment of the topics there will be laboratory exercises, which recreate the spirit and excitement of the pioneering experiments. Three lectures, one three-hour laboratory per week. Prerequisite(s): PHYS 227.",
PHYS 394-01,10562,Condensed Matter Physics,M W F,12:00 pm-01:00 pm,OLRI 150,James Heyman,9 / 24,"Solids occur as crystals, amorphous materials, and nanostructures. They function as metals, insulators and semiconductors, and form the basis of nearly all electronic, optical and magnetic technology. This course is an introduction to the physics of solids. Topics will include bonding in solids, the band theory of crystalline solids, the physics of semiconductors, recent developments in nanostructures such as nanoclusters, quantum dots and quantum wires, magnetism and superconductivity. Prerequisite(s): PHYS 331 or CHEM 312 or permission of the instructor.",
PHYS 443-01,10563,Electromagnetic Theory,M W F,01:10 pm-02:10 pm,OLRI 101,Christopher West,7 / 24,"This course treats the interactions between electrical charges in free space by developing the concepts of potential, electric and magnetic fields, and electromagnetic induction. Maxwell's equations are developed and used to derive the properties of plane electromagnetic waves in free space. Special emphasis is placed on boundary value problems and other useful mathematical techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 227 and MATH 237 .",
PHYS 443-L1,10564,Electromagnetic Theory Lab,M,03:30 pm-04:30 pm,OLRI 154,James Doyle,7 / 24,"This course treats the interactions between electrical charges in free space by developing the concepts of potential, electric and magnetic fields, and electromagnetic induction. Maxwell's equations are developed and used to derive the properties of plane electromagnetic waves in free space. Special emphasis is placed on boundary value problems and other useful mathematical techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 227 and MATH 237 .",
PHYS 481-01,10565,Quantum Mechanics,M W F,08:30 am-09:30 am,OLRI 101,Saki Khan,8 / 24,"The course rigorously covers many fundamental concepts of non-relativistic quantum mechanics, including the Heisenberg uncertainty principle and Pauli exclusion principle, single- and multi-particle stationary states in one, two, and three dimensions, and quantized angular momentum and spin. Schrodinger equation solutions for atomic and nuclear systems are studied, using differential equation, matrix, and perturbation techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 331 and MATH 312 .",
PHYS 481-L1,10566,Quantum Mechanics Lab,    F,03:30 pm-04:30 pm,OLRI 154,James Doyle,8 / 24,"The course rigorously covers many fundamental concepts of non-relativistic quantum mechanics, including the Heisenberg uncertainty principle and Pauli exclusion principle, single- and multi-particle stationary states in one, two, and three dimensions, and quantized angular momentum and spin. Schrodinger equation solutions for atomic and nuclear systems are studied, using differential equation, matrix, and perturbation techniques. Three lectures, 1 one-hour laboratory per week. Prerequisite(s): PHYS 331 and MATH 312 .",
PHYS 489-01,10567,Physics Seminar,  W,03:30 pm-04:30 pm,OLRI 150,Saki Khan,33 / 63,,
POLI 100-01,10568,Foundations of US Politics, T R,03:00 pm-04:30 pm,CARN 206,Patrick Schmidt,0 / 25,"This course introduces the constitutional framework, political culture, branches of government, political behavior, and nongovernmental institutions (e.g. political parties, media, or interest groups) that dynamically shape American politics.  Approaches vary by instructor, potentially including some mix of simulations, class debates, offsite observations, and comparative and critical examinations, but share a common set of objectives: 1) cultivating a broad and conversational understanding of key ideas, issues, and problems particular to American politics through classic and contemporary readings; 2) stimulating further inquiry into how American politics works and why it matters and 3) developing students' own reasoning, critical thinking, writing, and public speaking skills. This course is principally designed for beginning political science majors and non-majors who have not taken an AP course in US Government and Politics.",Quantitative Thinking Q1
POLI 101-01,10569,Political Argumentation and Debate,M W F,02:20 pm-03:20 pm,CARN 204,Brian Harrison,4 / 20,"The course introduces students to the study of argumentation or systematic reasoning about questions of public policy. How should we govern ourselves? Who gets to be a citizen? What limits should a society place on its citizens' behaviors? What freedoms should a society allow? Because these are questions over which reasonable people may disagree, coming up with mutually agreeable answers requires extensive public discussion and debate. The citizen who can discover reliable evidence, make sound arguments, and reason well in the face of strong counter-arguments also embodies the very notion of a liberally educated person. Students will develop their argumentation skills by focusing on congressional debates that have powerfully shaped the United States, including slavery, Indian removal, woman's rights, war powers, and impeachment.  The course is well suited for students who wish to develop their analytic, oral, and written communication skills.",Writing WA
POLI 120-01,10570,Foundations of International Politics, T R,09:40 am-11:10 am,HUM 112,Bora Jeong,4 / 25,"This course has three broad goals. The first is to develop the foundational knowledge and conceptual literacy necessary to engage with International Relations' multidimensional concerns. These include issues such as world order, power, hierarchy, political violence, international law, development, religion, human rights, gender, humanitarianism and international organizations (such as the United Nations). The second is to introduce students to the different perspectives or intellectual frameworks for making sense of international relations (also known as global or world politics), including realist, liberal, constructivist, historical materialist, postcolonial and feminist approaches. The third is to encourage students to reflect on some of the ethical issues inherent in both the study and practice of international politics. Emphasis will also be placed on developing a range of critical, analytical, research and writing skills required for the further study of international politics. The course is thus intended to prepare students for advanced work in the field, although it is also appropriate for those merely seeking to satisfy an interest in the study of global politics.",Internationalism
POLI 140-01,10571,Foundations of Comparative Politics,M W F,09:40 am-10:40 am,CARN 206,Tahmina Rahman,4 / 20,"In Comparative Politics we use comparison to analyze political outcomes within and across countries, Why do Mexican presidents exercise strong centralized authority while Brazilian presidents must contend with powerful governors? Why do Muslims and Hindus fight in some Indian states but not in others? Why does Rwanda have such a high proportion of female legislators whereas the U.S. has such a low proportion? When confronted with large-scale protests in their cities, do state security forces in China, Russia, and the United States respond with similar methods or do they differ? Through comparative analysis, students will learn to describe diverse political institutions, to propose explanations for divergent outcomes, and to evaluate scholarly and popular arguments about politics.","Writing WA
                    Internationalism"
POLI 141-01,10572,Latin America Through Women's Eyes, T R,01:20 pm-02:50 pm,LIBR 250,Paul Dosh,1 / 18,"Latin American women have overcome patriarchal ""machismo"" to serve as presidents, mayors, guerilla leaders, union organizers, artists, intellectuals, and human rights activists. Through a mix of theoretical, empirical, and testimonial work, we will explore issues such as feminist challenges to military rule in Chile, anti-feminist politics in Nicaragua, the intersection of gender and democratization in Cuba, and women's organizing and civil war in Colombia. Teaching methods include discussion, debates, simulations, analytic papers, partisan narratives, lecture, film, poetry, and a biographical essay. This class employs an innovative system of qualitative assessment. Students take the course ""S/SD/N with Written Evaluation."" This provides a powerful opportunity for students to stretch their limits in a learning community with high expectations, but without a high-pressure atmosphere. This ungraded course has been approved for inclusion on major/minor plans in Political Science, Latin American Studies, and Women's, Gender and Sexuality Studies.","Writing WA
                    Internationalism"
POLI 160-01,10575,Foundations of Political Theory,M W F,09:40 am-10:40 am,CARN 06A,Andrew Latham,-3 / 25,"This course deals with the major currents of political theory as they evolved in the Western, Chinese, and Islamic traditions from the time of classical Antiquity (ancient Greece and Rome) until the high modern era (roughly the early 20th century). Its main goal is to provide a solid introduction to the historical origins and evolution of key concepts such as the ‘good life,’ authority, democracy, republicanism, rights, order, revolution, and resistance, as understood from a variety of Western and non-Western perspectives. Through a close reading of texts and commentaries, we will critically (though empathetically) examine significant works in the traditions of  Classical Greek and Roman Political Theory, Classical Chinese Political Theory, Medieval and Renaissance Political Theory, Classical Islamic Political Theory, Liberal and Republican Political Theory, Conservative Political Theory, Marxist Political Theory, and Fascist Political Theory.",Internationalism
POLI 203-01,10578,Politics and Inequality: The American Welfare State,M W F,09:40 am-10:40 am,LIBR 250,Lesley Lavery, Closed 0 / 25,"The readings and assignments in this course are designed to help students understand how social policies and programs contribute to Americans' lived experiences.  We will examine various theoretical justifications for the policies that constitute the American welfare state, then confront and dissect major strands of the American social safety net to better understand how political institutions and policy mechanisms contribute to both diversity and inequality in individuals' social, economic and political outcomes (based in race, class, gender, dis/ability, region, political jurisdiction, etc.).","Writing WP
                    U.S. Identities and Differences"
POLI 206-01,10579,US Constitutional Law and Thought, T R,09:40 am-11:10 am,CARN 206,Patrick Schmidt, Closed -1 / 25,"An exploration of the structure of the American Political System as seen through the decisions of the U.S. Supreme Court. The central topics include the development of the federal-state relationship, the separation of powers in the national government, the limits of government power over the economy, and the role of the judiciary. This course takes in the sweep of American history from 1789 to the present. Prerequisite(s): POLI 100 recommended.",
POLI 215-01,10580,Environmental Politics/Policy, T R,09:40 am-11:10 am,CARN 305,Michael Zis,-2 / 25,"This course provides an introduction to the field of Environmental Politics and Policy. Using a comparative approach, the course engages the meaning and development of environmental governance. We will explore the tandem rise of the modern environmental movement and profound new environmental legislation in the U.S. and internationally. Topics investigated will include: deforestation, hazardous wastes, climate change, population growth, and loss of biodiversity.",
POLI 221-01,10582,Global Governance, T R,09:40 am-11:10 am,THEATR 200,Wendy Weber,0 / 17,"This course is designed to introduce students to global governance. It begins with a discussion of the concept of global governance. It then turns to some of the central features of contemporary global governance, including the changing status of the state and of international/world organizations and the role of global civil society. The emphasis here is on how patterns of global governance have changed and are changing and on the implications of these changes for democracy, social justice, etc. The remainder of the course focuses on the areas of international peace and security, human rights and international humanitarian law, and economic governance. By addressing such topics as the International Criminal Court and the role of the IMF and the World Bank in economic development, these parts of the course highlight the contested nature of global governance in each of the three issue areas. Prerequisite(s): POLI 120 recommended.","Writing WA
                    Internationalism"
POLI 221-02,10772,Global Governance, T R,03:00 pm-04:30 pm,CARN 305,Bora Jeong,3 / 25,"This course is designed to introduce students to global governance. It begins with a discussion of the concept of global governance. It then turns to some of the central features of contemporary global governance, including the changing status of the state and of international/world organizations and the role of global civil society. The emphasis here is on how patterns of global governance have changed and are changing and on the implications of these changes for democracy, social justice, etc. The remainder of the course focuses on the areas of international peace and security, human rights and international humanitarian law, and economic governance. By addressing such topics as the International Criminal Court and the role of the IMF and the World Bank in economic development, these parts of the course highlight the contested nature of global governance in each of the three issue areas. Prerequisite(s): POLI 120 recommended.",Internationalism
POLI 262-01,10584,American Political Thought, T R,01:20 pm-02:50 pm,HUM 215,Michael Zis,3 / 25,"Taking a chronological tour of American political ideas, this course explores the continuities and conflicts in political discourse in the United States from a wide range of authors and perspectives. Canonical figures such as the Puritans, Thomas Jefferson, James Madison, and Abraham Lincoln construct political authority in their respective periods, against a diverse backdrop of thinkers presenting competing visions and claims. Some of the authors include: Henry David Thoreau, Elizabeth Cady Stanton, Frederick Douglass, Edward Bellamy, W.E.B. DuBois, John Dewey, Martin Luther King Jr., and a range of contemporary authors representing evolving feminist, environmentalist, and conservative political thought. Assignments vary, but include efforts both to put thought in a historic context and develop the connections between traditions of thought and present-day concerns. Prerequisite(s): POLI 100 recommended",
POLI 269-01,10586,Empirical Research Methods,M W F,01:10 pm-02:10 pm,CARN 206,Julie Dolan, Closed 1 / 20,"This course will equip you with the skills and intuition to think about politics in a more critical and organized way.  You will practice the scientific method - identifying a problem worthy of study, developing testable hypotheses, designing a research strategy, gathering data, analyzing data, and interpreting your results - and contemplate the philosophical conundrums that underlie our efforts to describe, explain, and interpret complex phenomena.  Every Semester. (4 credits) Empirical Methods: The department requires its majors to take one course in empirical research methodology, preferably before their junior year. There are a number of courses that fulfill this requirement, including: POLI 272, SOCI 269, SOCI 270, SOCI 275. In some cases, research methods courses taken in other social science disciplines may be used to fulfill this requirement following approval by the political science department chair.",Quantitative Thinking Q3
POLI 277-01,10407,Metaphysics in Secular Thought,M W F,03:30 pm-04:30 pm,HUM 213,Kiarina Kordela,8 / 30,"A widespread tendency in contemporary Western societies is to associate metaphysics with religion, if not with what is often dismissively called the ""irrational."" This course will dismantle this myth by reading closely European philosophy and political theory, mostly since the seventeenth century, in their relation to theology and their reception by twentieth-century critical theory. This will allow us to examine the ways in which secular thought emerges not as an alternative to metaphysics-something which thought cannot supersede anyway-but rather as a different way of dealing with the very same metaphysical questions and issues that concern religion, from the meaning of life to the imminence of death, and from (actual or imagined) guilt to the hope for redemption. We shall endeavor to identify the similarities and differences between the 'secular' and the 'religious' ways, including their respective relations to rationality. Readings may include: Aristotle, Talal Asad, George Bataille, Walter Benjamin, Kenneth Burke, Richard Dienst, Emile Durkheim, Michel Foucault, Sigmund Freud, Peter Harrison, Jacques Lacan, Karl Marx, Marcel Mauss, Carl Schmitt, Baruch Spinoza, Alberto Toscano, Max Weber, Slavoj Zizek. Prerequisite(s): All readings in English. No pre-knowledge required.",Internationalism
POLI 294-01,10775,South Asian Politics,M W F,01:10 pm-02:10 pm,CARN 05,Tahmina Rahman, Closed 7 / 20,"The course will critically analyze the history and politics of the seven original member states of South Asian Association for Regional Cooperation (SAARC): India, Bangladesh, Pakistan, Sri Lanka, Nepal, Maldives, and Bhutan. The course has several broad goals. First, to introduce the history of colonialism and nationalism in South Asia through the eyes of marginalized women, peasants, and workers. Subaltern readings of history will reveal how the colonial experience has shaped political institutions. Second, to analyze social cleavages—ethnicity, religion, caste, language— in relation to ethnic nationalist movements like the Liberation Tigers of Tamil Eelam in Sri Lanka, religious extremist groups like Harkat-ul-Jihad-al-Islami in Pakistan and Bangladesh, Maoist movements in Nepal, and separatist movements in India. Third, to understand the rise of populist leaders and parties in the region and its impact on liberal democracy and bilateral relations between countries. We will also examine regional innovations focused on sharing natural resources and common river water, addressing climate change, and regulating migration, and critique SAARC’s potential to help implement these innovations. The course concludes with a discussion of South Asia’s relationships with extra-regional powers like China and the United States.","Writing WA
                    Internationalism"
